payload_id,name,type,reuse,manufacture,mass_kg,mass_lb,orbit,reference_system,regime
5eb0e4b5b6c3bb0006eeb1e1,FalconSAT-2,Satellite,False,SSTL,20,43,LEO,geocentric,low-earth
5eb0e4b7b6c3bb0006eeb1e5,RatSat,Satellite,False,SpaceX,165,363,LEO,geocentric,low-earth
5eb0e4b7b6c3bb0006eeb1e6,RazakSAT,Satellite,False,Satrec,200,440,LEO,geocentric,low-earth
5eb0e4bab6c3bb0006eeb1ea,"COTS Demo Flight 2","Dragon 1.0",False,SpaceX,525,1157,LEO,geocentric,low-earth
5eb0e4bab6c3bb0006eeb1eb,CRS-1,"Dragon 1.0",False,SpaceX,400,881,ISS,geocentric,low-earth
5eb0e4bab6c3bb0006eeb1ec,Orbcomm-OG2,"Dragon 1.0",False,"Not Disclosed",400,881,LEO,geocentric,low-earth
5eb0e4bbb6c3bb0006eeb1ed,CRS-2,"Dragon 1.0",False,SpaceX,677,1492,ISS,geocentric,low-earth
5eb0e4bbb6c3bb0006eeb1ee,CASSIOPE,Satellite,False,MDA,500,1100,PO,geocentric,low-earth
5eb0e4bbb6c3bb0006eeb1ef,SES-8,Satellite,False,"Orbital ATK",3170,6990,GTO,geocentric,geostationary
5eb0e4bbb6c3bb0006eeb1f0,"Thaicom 6",Satellite,False,"Orbital ATK",3325,7330,GTO,geocentric,geostationary
5eb0e4bbb6c3bb0006eeb1f1,CRS-3,"Dragon 1.1",False,SpaceX,2296,5062,ISS,geocentric,low-earth
5eb0e4bcb6c3bb0006eeb1f2,Orbcomm-OG2-M1,Satellite,False,Boeing,1316,2901,LEO,geocentric,low-earth
5eb0e4bcb6c3bb0006eeb1f3,"AsiaSat 8",Satellite,False,SSL,4535,9998,GTO,geocentric,geostationary
5eb0e4bcb6c3bb0006eeb1f4,"AsiaSat 6",Satellite,False,SSL,4428,9762,GTO,geocentric,geostationary
5eb0e4bcb6c3bb0006eeb1f5,CRS-4,"Dragon 1.1",False,SpaceX,2216,4885,ISS,geocentric,low-earth
5eb0e4bdb6c3bb0006eeb1f6,CRS-5,"Dragon 1.1",False,SpaceX,2395,5280,ISS,geocentric,low-earth
5eb0e4bdb6c3bb0006eeb1f7,DSCOVR,Satellite,False,"Sierra Nevada",570,1260,ES-L1,heliocentric,L1-point
5eb0e4bdb6c3bb0006eeb1f8,ABS-3A,Satellite,False,Boeing,1954,4307,GTO,geocentric,geostationary
